line,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,raw_address,is_exact_address_hidden,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,rent_price,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
0,21742,"Piso en venta en calle de Godella, 64","San Cristóbal, Madrid",64.0,60.0,2,1.0,,"Calle de Godella, 64",False,Calle de Godella,64,3,False,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,471,85000,1328,True,HouseType 1: Pisos,False,False,1960.0,,,True,False,False,True,False,False,False,False,False,False,False,D,False,,,False,True,False,False
1,21741,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",70.0,,3,1.0,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,4,False,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,666,129900,1856,True,HouseType 1: Pisos,True,False,,,,False,True,True,True,False,False,True,False,False,False,False,en trámite,False,,,,,,
2,21740,"Piso en venta en calle del Talco, 68","San Andrés, Madrid",94.0,54.0,2,2.0,,"Calle del Talco, 68",False,Calle del Talco,68,1,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,722,144247,1535,True,HouseType 1: Pisos,False,False,,False,True,False,True,True,True,False,False,False,False,True,False,False,no indicado,False,,,,,,
3,21739,Piso en venta en calle Pedro Jiménez,"San Andrés, Madrid",64.0,,2,1.0,,Calle Pedro Jimnez,True,Calle Pedro Jimnez,,Bajo,True,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,583,109900,1717,True,HouseType 1: Pisos,False,False,1955.0,,,False,False,True,True,False,False,False,False,True,True,False,en trámite,False,,,False,False,True,False
4,21738,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",108.0,90.0,2,2.0,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,4,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1094,260000,2407,True,HouseType 1: Pisos,False,False,2003.0,,,True,True,True,True,False,True,False,False,True,False,True,en trámite,True,True,0.0,True,True,True,True
5,21737,Piso en venta en geologia,"San Andrés, Madrid",126.0,114.0,4,2.0,,geologia,True,geologia,,3,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,901,195000,1548,True,HouseType 1: Pisos,False,False,1981.0,False,True,False,False,False,True,False,False,True,True,False,True,False,en trámite,True,True,0.0,False,False,False,True
6,21736,Piso en venta en avenida Real de Pinto,"San Andrés, Madrid",120.0,100.0,5,2.0,,Avenida Real de Pinto,True,Avenida Real de Pinto,,1,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,884,190000,1583,True,HouseType 1: Pisos,False,False,,False,True,True,True,False,True,False,True,True,True,True,False,True,F,True,True,0.0,False,False,True,False
9,21733,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",85.0,,2,1.0,,Calle de Martinez Oviol,True,Calle de Martinez Oviol,,7,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,672,131400,1546,True,HouseType 1: Pisos,True,False,1950.0,False,True,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,,,False,True,False,False
10,21732,Piso en venta en De la Plata - Villaverde,"San Andrés, Madrid",69.0,,2,2.0,,De la Plata - Villaverde,True,De la Plata - Villaverde,,2,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,617,118000,1710,True,HouseType 1: Pisos,True,False,1963.0,,,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,,,,,,
12,21730,"Piso en venta en calle de la Unanimidad, 67","Los Rosales, Madrid",123.0,104.0,3,2.0,,"Calle de la Unanimidad, 67",False,Calle de la Unanimidad,67,4,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,901,195000,1585,True,HouseType 1: Pisos,False,False,1992.0,,,True,True,True,True,False,False,False,False,False,False,False,D,False,,,False,False,False,True
13,21729,"Piso en venta en calle de Anoeta, 63","Los Ángeles, Madrid",109.0,90.0,3,2.0,,"Calle de Anoeta, 63",False,Calle de Anoeta,63,3,False,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,933,205000,1881,True,HouseType 1: Pisos,False,False,1983.0,,,False,True,True,True,False,False,True,False,True,False,False,E,False,,,False,False,True,False
