id,title,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,raw_address,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_address,latitude,longitude,subtitle
21742,"Piso en venta en calle de Godella, 64",64.0,60.0,2,1.0,"Calle de Godella, 64",Calle de Godella,64,3,False,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,471,85000,1328,HouseType 1: Pisos,False,False,1960.0,,,True,False,True,False,False,False,False,False,False,D,False,,,False,True,False,False,"64 Calle de Godella, Madrid, Spain",40.3423454,-3.6872259,"San Cristóbal, Madrid"
21741,Piso en venta en calle de la del Manojo de Rosas,70.0,,3,1.0,Calle de la del Manojo de Rosas,Calle de la del Manojo de Rosas,,4,False,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,666,129900,1856,HouseType 1: Pisos,True,False,,,,False,True,True,False,False,True,False,False,False,en trámite,False,,,,,,,"Calle de la del Manojo de Rosas, Madrid, Spain",40.3545596,-3.6988111,"Los Ángeles, Madrid"
21740,"Piso en venta en calle del Talco, 68",94.0,54.0,2,2.0,"Calle del Talco, 68",Calle del Talco,68,1,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,722,144247,1535,HouseType 1: Pisos,False,False,,False,True,False,True,True,False,False,False,True,False,False,no indicado,False,,,,,,,"68 Calle del Talco, Madrid, Spain",40.3446298,-3.7151909,"San Andrés, Madrid"
21739,Piso en venta en calle Pedro Jiménez,64.0,,2,1.0,Calle Pedro Jiménez,Calle Pedro Jiménez,,Bajo,True,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,583,109900,1717,HouseType 1: Pisos,False,False,1955.0,,,False,True,True,False,False,False,True,True,False,en trámite,False,,,False,False,True,False,"Calle Pedro Jiménez, Madrid, Spain",40.343289,-3.7073174,"San Andrés, Madrid"
21738,Piso en venta en carretera de Villaverde a Vallecas,108.0,90.0,2,2.0,Carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,,4,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1094,260000,2407,HouseType 1: Pisos,False,False,2003.0,,,True,True,True,False,True,False,True,False,True,en trámite,True,True,0.0,True,True,True,True,"Carretera de Villaverde a Vallecas, Madrid, Spain",40.3669961,-3.6542926,"Los Rosales, Madrid"
21737,Piso en venta en geologia,126.0,114.0,4,2.0,geologia,geologia,,3,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,901,195000,1548,HouseType 1: Pisos,False,False,1981.0,False,True,False,False,True,False,False,True,False,True,False,en trámite,True,True,0.0,False,False,False,True,"geologia, Madrid, Spain",40.3433886,-3.7124165,"San Andrés, Madrid"
21736,Piso en venta en avenida Real de Pinto,120.0,100.0,5,2.0,Avenida Real de Pinto,Avenida Real de Pinto,,1,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,884,190000,1583,HouseType 1: Pisos,False,False,,False,True,True,False,True,False,True,True,True,False,True,F,True,True,0.0,False,False,True,False,"Avenida Real de Pinto, Madrid, Spain",40.3408285,-3.7066099,"San Andrés, Madrid"
21735,Piso en venta en San Andrés,125.0,100.0,3,2.0,,,,2,False,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,912,198500,1588,HouseType 1: Pisos,False,False,,,,True,False,True,False,False,True,False,False,False,no indicado,False,,,False,False,True,False,"San Andrés, Madrid, Spain",40.3455389,-3.7109697,"Villaverde, Madrid"
21734,Piso en venta en Butarque,84.0,70.0,3,2.0,,,,,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,954,212000,2524,HouseType 1: Pisos,False,False,,,,True,True,True,False,True,False,True,True,True,F,True,True,0.0,,,,,"Butarque, Madrid, Spain",40.3364041,-3.6742402,"Villaverde, Madrid"
21733,Piso en venta en calle de Martinez Oviol,85.0,,2,1.0,Calle de Martinez Oviol,Calle de Martinez Oviol,,7,False,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,672,131400,1546,HouseType 1: Pisos,True,False,1950.0,False,True,False,False,True,False,False,True,False,False,False,en trámite,False,,,False,True,False,False,"Calle de Martinez Oviol, Madrid, Spain",40.3528895,-3.689424,"Los Rosales, Madrid"
